fileExtension,Allowed
.,TRUE
.accdb,TRUE
.accde,TRUE
.accdr,TRUE
.accdt,TRUE
.application,TRUE
.ascx,TRUE
.ashx,TRUE
.aspx,TRUE
.asmx,TRUE
.axd,TRUE
.avi,TRUE
.bmp,TRUE
.css,TRUE
.csv,TRUE
.db,TRUE
.deploy,TRUE
.dll,TRUE
.doc,TRUE
.docm,TRUE
.docx,TRUE
.dot,TRUE
.dotm,TRUE
.dotx,TRUE
.dwp,TRUE
.emf,TRUE
.eot,TRUE
.epub,TRUE
.exe,TRUE
.gfs,TRUE
.gif,TRUE
.flv,TRUE
.htm,TRUE
.html,TRUE
.ico,TRUE
.inf,TRUE
.jpeg,TRUE
.jpg,TRUE
.js,TRUE
.json,TRUE
.manifest,TRUE
.map,TRUE
.mht,TRUE
.mhtml,TRUE
.mp3,TRUE
.mp4,TRUE
.mpp,TRUE
.msg,TRUE
.mov,TRUE
.mpg,TRUE
.odp,TRUE
.ods,TRUE
.odt,TRUE
.one,TRUE
.onepkg,TRUE
.onetoc2,TRUE
.pcx,TRUE
.pdf,TRUE
.png,TRUE
.pot,TRUE
.potm,TRUE
.potx,TRUE
.ppam,TRUE
.pps,TRUE
.ppsm,TRUE
.ppsx,TRUE
.ppt,TRUE
.pptm,TRUE
.pptx,TRUE
.prn,TRUE
.ps,TRUE
.psd,TRUE
.pub,TRUE
.r2w,TRUE
.rdl,TRUE
.rep,TRUE
.rtf,TRUE
.sav,TRUE
.sldm,TRUE
.sldx,TRUE
.stp,TRUE
.svc,TRUE
.svg,TRUE
.swf,TRUE
.tmp,TRUE
.thmx,TRUE
.tif,TRUE
.ttf,TRUE
.txt,TRUE
.tpl,TRUE
.tsv,TRUE
.vdx,TRUE
.vsd,TRUE
.vsdm,TRUE
.vsdx,TRUE
.vss,TRUE
.vssm,TRUE
.vssx,TRUE
.vst,TRUE
.vstm,TRUE
.vstx,TRUE
.vsw,TRUE
.vsx,TRUE
.vtx,TRUE
.wav,TRUE
.wbk,TRUE
.wmf,TRUE
.wmv,TRUE
.woff,TRUE
.wsp,TRUE
.xfdl,TRUE
.xlam,TRUE
.xaml,TRUE
.xap,TRUE
.xlk,TRUE
.xlm,TRUE
.xsl,TRUE
.xls,TRUE
.xlsb,TRUE
.xlsm,TRUE
.xlsx,TRUE
.xlt,TRUE
.xltm,TRUE
.xltx,TRUE
.xml,TRUE
.xps,TRUE
.xsn,TRUE
.xtp,TRUE
.zip,TRUE